2	Nothocercus bonapartei	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Nothocercus	ICZN
1	Tinamus major	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Tinamus	ICZN
3	Crypturellus soui	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	ICZN
4	Crypturellus cinnamomeus	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	ICZN
5	Crypturellus boucardi	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	ICZN
6	Crypturellus kerriae	Animalia	Chordata	Aves	Tinamiformes	Tinamidae	Crypturellus	ICZN
7	Dendrocygna viduata	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	ICZN
8	Dendrocygna autumnalis	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	ICZN
9	Dendrocygna arborea	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	ICZN
10	Dendrocygna bicolor	Animalia	Chordata	Aves	Anseriformes	Anatidae	Dendrocygna	ICZN
